cod_ped;quant_ped;valor_ped;cod_prod;cod_pre
1;2;49.00;5;8
2;1;4.60;3;9
3;1;10.90;1;
4;3;67.50;2;
5;4;111.60;7;10
6;1;44.90;35;
7;1;29.99;8;11
8;6;200.70;13;12
9;2;74.38;14;13
10;3;17.99;40;
11;2;8.46;22;
12;2;14.86;36;
13;4;61.56;15;
14;1;180.80;6;
15;1;22.50;2;14
16;5;97.45;10;
17;1;39.90;12;
18;2;55.80;7;
19;2;23.18;32;15
20;3;89.97;8;
21;1;46.59;25;16
22;2;75.00;24;17
23;4;51.60;29;18
24;2;75.00;24;
25;1;45.29;21;
26;3;47.97;26;
27;3;139.77;25;
28;1;12.49;33;
29;2;24.98;33;19
30;5;103.75;9;20
